satellite_img_name,BD09 coordinate,WGS84 coordinate,carbon_emissions (ton),population (unit),gdp (million yuan)
Beijing/16_12659_4738_s.jpg,"(12659,4738)","(40.09315850201147, 116.44569035648394)",564.68396,1916,4344.1465
Beijing/16_12668_4714_s.jpg,"(12668,4714)","(39.92338530941099, 116.52847819228352)",1667.1362,6945,10000.0
Beijing/16_12692_4733_s.jpg,"(12692,4733)","(40.05782418747476, 116.7492457544157)",129.05547,381,5539.0205
Beijing/16_12625_4734_s.jpg,"(12625,4734)","(40.064892528695054, 116.13293631013002)",304.98032,1973,39261.21
Beijing/16_12635_4704_s.jpg,"(12635,4704)","(39.85252090509083, 116.22492279435176)",1172.9652,2303,36111.55
Beijing/16_12661_4716_s.jpg,"(12661,4716)","(39.937549328869856, 116.46408765332829)",4244.753,9291,10000.0
Beijing/16_12656_4697_s.jpg,"(12656,4697)","(39.80287189578841, 116.41809441121742)",885.74554,11298,34708.875
Beijing/16_12673_4734_s.jpg,"(12673,4734)","(40.064892528695054, 116.57447143439438)",2001.3203,1687,19915.979
Beijing/16_12664_4713_s.jpg,"(12664,4713)","(39.91630219186917, 116.49168359859482)",2223.765,21117,10000.0
Beijing/16_12677_4694_s.jpg,"(12677,4694)","(39.78158267817732, 116.61126602808308)",171.6713,656,2200.1614
Beijing/16_12669_4705_s.jpg,"(12669,4705)","(39.85961066804686, 116.53767684070569)",942.4042,4556,10000.0
Beijing/16_12659_4731_s.jpg,"(12659,4731)","(40.04368528776988, 116.44569035648394)",1163.4679,1479,10000.0
Beijing/16_12692_4720_s.jpg,"(12692,4720)","(39.965868504443485, 116.7492457544157)",679.63995,1510,2460.3083
Beijing/16_12637_4729_s.jpg,"(12637,4729)","(40.02954343190868, 116.24332009119611)",1302.2139,1357,10001.548
Beijing/16_12684_4728_s.jpg,"(12684,4728)","(40.02247139549316, 116.6756565670383)",289.72952,1018,14314.997
Beijing/16_12656_4730_s.jpg,"(12656,4730)","(40.036614729344095, 116.41809441121742)",1687.2549,8702,10000.0
Beijing/16_12627_4706_s.jpg,"(12627,4706)","(39.866699692745854, 116.15133360697436)",443.70306,2640,34558.91
Beijing/16_12692_4718_s.jpg,"(12692,4718)","(39.95171039396103, 116.7492457544157)",732.8376,1498,6436.5166
Beijing/16_12670_4704_s.jpg,"(12670,4704)","(39.85252090509083, 116.54687548912786)",838.8763,2565,10073.535
Beijing/16_12619_4723_s.jpg,"(12619,4723)","(39.98710012975052, 116.07774441959697)",361.97772,465,5825.9673
Beijing/16_12615_4728_s.jpg,"(12615,4728)","(40.02247139549316, 116.04094982590827)",98.31461,48,3.080007
