satellite_img_name,BD09 coordinate,WGS84 coordinate,carbon_emissions (ton),population (unit),gdp (million yuan)
Shanghai/16_13167_3525_s.jpg,"(13167,3525)","(30.99272409355233, 121.11860375494845)",248.64958,1139,15321.365
Shanghai/16_13232_3555_s.jpg,"(13232,3555)","(31.23017054642347, 121.71651590238979)",730.37244,5294,47379.03
Shanghai/16_13223_3531_s.jpg,"(13223,3531)","(31.04026134561536, 121.63372806659022)",377.9839,3943,8707.273
Shanghai/16_13239_3552_s.jpg,"(13239,3552)","(31.206452906350798, 121.78090644134501)",675.47314,1154,0
Shanghai/16_13208_3537_s.jpg,"(13208,3537)","(31.087774637460512, 121.4957483402576)",965.55444,3901,48677.527
Shanghai/16_13192_3536_s.jpg,"(13192,3536)","(31.079857420264073, 121.34856996550282)",1015.2321,2308,26469.602
Shanghai/16_13233_3542_s.jpg,"(13233,3542)","(31.12735072954786, 121.72571455081196)",642.70294,1197,4877.613
Shanghai/16_13231_3558_s.jpg,"(13231,3558)","(31.253882175992, 121.70731725396762)",791.21826,3093,10452.127
Shanghai/16_13186_3578_s.jpg,"(13186,3578)","(31.411805918099798, 121.29337807496977)",441.38483,2541,5194.4688
Shanghai/16_13180_3583_s.jpg,"(13180,3583)","(31.451245008985875, 121.23818618443673)",328.6736,1197,7190.4766
Shanghai/16_13213_3564_s.jpg,"(13213,3564)","(31.301287393485108, 121.54174158236847)",1718.1361,36873,10000.0
Shanghai/16_13188_3576_s.jpg,"(13188,3576)","(31.396025591247177, 121.31177537181412)",483.8359,614,248.44574
Shanghai/16_13193_3535_s.jpg,"(13193,3535)","(31.071939537029653, 121.35776861392499)",886.402,2303,12483.073
Shanghai/16_13169_3563_s.jpg,"(13169,3563)","(31.293388195049825, 121.13700105179281)",1433.4924,7148,10001.729
Shanghai/16_13214_3552_s.jpg,"(13214,3552)","(31.206452906350798, 121.55094023079064)",2116.6572,35363,10379.552
Shanghai/16_13180_3539_s.jpg,"(13180,3539)","(31.10360707335924, 121.23818618443673)",806.64166,1843,14331.768
Shanghai/16_13203_3580_s.jpg,"(13203,3580)","(31.427583565037708, 121.44975509814674)",755.76324,13271,10000.0
Shanghai/16_13172_3534_s.jpg,"(13172,3534)","(31.064020987852352, 121.16459699705933)",912.09265,562,187.22401
Shanghai/16_13200_3536_s.jpg,"(13200,3536)","(31.079857420264073, 121.42215915288021)",1110.5472,2479,10036.637
Shanghai/16_13169_3544_s.jpg,"(13169,3544)","(31.14317650079441, 121.13700105179281)",530.7122,10348,21619.576
Shanghai/16_13193_3538_s.jpg,"(13193,3538)","(31.0956911885239, 121.35776861392499)",1176.1217,9638,10000.0
Shanghai/16_13181_3562_s.jpg,"(13181,3562)","(31.285488328031057, 121.2473848328589)",746.7408,1000,23251.158
Shanghai/16_13184_3579_s.jpg,"(13184,3579)","(31.419695076604366, 121.27498077812542)",526.45844,4172,16818.55
Shanghai/16_13237_3542_s.jpg,"(13237,3542)","(31.12735072954786, 121.76250914450065)",762.511,6322,39205.13
Shanghai/16_13199_3577_s.jpg,"(13199,3577)","(31.403916089616548, 121.41296050445804)",941.1084,4435,46059.125
Shanghai/16_13237_3544_s.jpg,"(13237,3544)","(31.14317650079441, 121.76250914450065)",1117.5602,4746,10870.283
Shanghai/16_13204_3538_s.jpg,"(13204,3538)","(31.0956911885239, 121.45895374656891)",947.6,3104,10297.912
Shanghai/16_13222_3581_s.jpg,"(13222,3581)","(31.435471383307327, 121.62452941816804)",168.37605,417,13.003187
Shanghai/16_13212_3525_s.jpg,"(13212,3525)","(30.99272409355233, 121.5325429339463)",243.72607,421,9082.711
Shanghai/16_13228_3553_s.jpg,"(13228,3553)","(31.214359454052193, 121.67972130870109)",1128.6482,2555,10800.333
