satellite_img_name,BD09 coordinate,WGS84 coordinate,carbon_emissions (ton),population (unit),gdp (million yuan)
Shenzhen/16_12415_2515_s.jpg,"(12415,2515)","(22.66847939519827, 114.20122012666097)",967.14355,5643,10000.0
Shenzhen/16_12454_2500_s.jpg,"(12454,2500)","(22.540359406569266, 114.55996741500725)",21.645906,37,1.382694
Shenzhen/16_12385_2505_s.jpg,"(12385,2505)","(22.583079472643913, 113.9252606740869)",1980.7793,8544,10000.0
Shenzhen/16_12430_2523_s.jpg,"(12430,2523)","(22.7367606453618, 114.339199852948)",688.077,658,3312.9592
Shenzhen/16_12386_2509_s.jpg,"(12386,2509)","(22.617245880860583, 113.93445932250603)",669.89014,2681,138.13887
Shenzhen/16_12369_2525_s.jpg,"(12369,2525)","(22.753825574143335, 113.77808229938073)",1172.4331,4150,18259.1
Shenzhen/16_12387_2498_s.jpg,"(12387,2498)","(22.523267633486494, 113.94365797092517)",1348.4609,2105,0
Shenzhen/16_12401_2510_s.jpg,"(12401,2510)","(22.625786142070258, 114.07243904879307)",1365.3379,22093,10001.128
Shenzhen/16_12366_2533_s.jpg,"(12366,2533)","(22.82206371673744, 113.75048635412332)",1378.4891,1715,127.11435
Shenzhen/16_12396_2510_s.jpg,"(12396,2510)","(22.625786142070258, 114.02644580669738)",1632.4321,8432,10000.0
Shenzhen/16_12447_2529_s.jpg,"(12447,2529)","(22.78794896244313, 114.4955768760733)",258.64944,1243,9.379805
Shenzhen/16_12415_2513_s.jpg,"(12415,2513)","(22.651403705158934, 114.20122012666097)",722.5009,6350,10009.602
Shenzhen/16_12415_2497_s.jpg,"(12415,2497)","(22.51472094472147, 114.20122012666097)",91.20319,0,0
Shenzhen/16_12436_2527_s.jpg,"(12436,2527)","(22.77088834692007, 114.39439174346282)",690.30396,1737,10051.331
Shenzhen/16_12414_2501_s.jpg,"(12414,2501)","(22.548904490571626, 114.19202147824183)",229.33218,0,0
Shenzhen/16_12384_2526_s.jpg,"(12384,2526)","(22.762357230110375, 113.91606202566776)",813.11774,7331,4622.822
Shenzhen/16_12442_2506_s.jpg,"(12442,2506)","(22.591621878890372, 114.44958363397762)",157.1537,581,1.382694
Shenzhen/16_12370_2531_s.jpg,"(12370,2531)","(22.805007419464577, 113.78728094779986)",1735.6116,11188,37228.062
Shenzhen/16_12423_2530_s.jpg,"(12423,2530)","(22.796478460844515, 114.27480931401405)",406.8074,613,7193.5454
Shenzhen/16_12390_2534_s.jpg,"(12390,2534)","(22.830591055078724, 113.97125391618258)",223.18773,4213,7145.1514
Shenzhen/16_12379_2527_s.jpg,"(12379,2527)","(22.77088834692007, 113.87006878357208)",943.0107,6419,38657.332
Shenzhen/16_12428_2490_s.jpg,"(12428,2490)","(22.454879163259047, 114.32080255610973)",30.96528,0,0
Shenzhen/16_12439_2529_s.jpg,"(12439,2529)","(22.78794896244313, 114.42198768872022)",1019.7431,2325,11935.715
Shenzhen/16_12388_2499_s.jpg,"(12388,2499)","(22.531813787488332, 113.9528566193443)",1607.3381,5646,10000.0
Shenzhen/16_12416_2492_s.jpg,"(12416,2492)","(22.471979484973392, 114.2104187750801)",242.952,0,0
Shenzhen/16_12422_2510_s.jpg,"(12422,2510)","(22.625786142070258, 114.26561066559492)",354.07462,144,1.382694
Shenzhen/16_12379_2512_s.jpg,"(12379,2512)","(22.642865054376422, 113.87006878357208)",526.92194,2768,10056.194
Shenzhen/16_12388_2504_s.jpg,"(12388,2504)","(22.574536530531404, 113.9528566193443)",2137.9148,13542,10022.931
Shenzhen/16_12436_2509_s.jpg,"(12436,2509)","(22.617245880860583, 114.39439174346282)",181.3513,2872,27636.545
Shenzhen/16_12443_2521_s.jpg,"(12443,2521)","(22.7196935618253, 114.45878228239677)",115.13856,661,20.23124
Shenzhen/16_12427_2532_s.jpg,"(12427,2532)","(22.813535838147484, 114.3116039076906)",250.84558,649,765.01117
Shenzhen/16_12403_2504_s.jpg,"(12403,2504)","(22.574536530531404, 114.09083634563133)",3027.6877,36153,48682.426
Shenzhen/16_12402_2518_s.jpg,"(12402,2518)","(22.694088899091252, 114.0816376972122)",928.26605,5892,10000.0
Shenzhen/16_12443_2523_s.jpg,"(12443,2523)","(22.7367606453618, 114.45878228239677)",322.9964,2236,16162.502
Shenzhen/16_12377_2517_s.jpg,"(12377,2517)","(22.685552935491348, 113.8516714867338)",594.77045,1959,2128.436
Shenzhen/16_12415_2498_s.jpg,"(12415,2498)","(22.523267633486494, 114.20122012666097)",88.596825,0,0
Shenzhen/16_12411_2530_s.jpg,"(12411,2530)","(22.796478460844515, 114.16442553298442)",240.88583,1874,18201.406
Shenzhen/16_12415_2506_s.jpg,"(12415,2506)","(22.591621878890372, 114.20122012666097)",519.94354,754,1.382694
Shenzhen/16_12373_2534_s.jpg,"(12373,2534)","(22.830591055078724, 113.81487689305727)",1302.0778,1477,20421.416
Shenzhen/16_12442_2508_s.jpg,"(12442,2508)","(22.608705083155943, 114.44958363397762)",168.08643,253,1.382694
Shenzhen/16_12438_2525_s.jpg,"(12438,2525)","(22.753825574143335, 114.41278904030108)",632.0907,1126,39829.67
Shenzhen/16_12436_2514_s.jpg,"(12436,2514)","(22.659941818818496, 114.39439174346282)",193.6153,553,20052.066
Shenzhen/16_12412_2516_s.jpg,"(12412,2516)","(22.67701643414146, 114.17362418140355)",953.5155,2953,414.67975
Shenzhen/16_12377_2496_s.jpg,"(12377,2496)","(22.50617372135107, 113.8516714867338)",240078.27,50,0
Shenzhen/16_12448_2493_s.jpg,"(12448,2493)","(22.48052884518629, 114.50477552449244)",34.085747,41,1.382694
Shenzhen/16_12380_2506_s.jpg,"(12380,2506)","(22.591621878890372, 113.87926743199122)",2182.8665,3026,10000.003
Shenzhen/16_12435_2526_s.jpg,"(12435,2526)","(22.762357230110375, 114.38519309504368)",747.48816,1246,40770.754
Shenzhen/16_12369_2528_s.jpg,"(12369,2528)","(22.779418924416326, 113.77808229938073)",1290.8274,19332,37228.062
Shenzhen/16_12424_2527_s.jpg,"(12424,2527)","(22.77088834692007, 114.28400796243318)",729.488,3523,10000.096
Shenzhen/16_12447_2533_s.jpg,"(12447,2533)","(22.82206371673744, 114.4955768760733)",210.64864,1743,1971.6987
Shenzhen/16_12425_2524_s.jpg,"(12425,2524)","(22.74529337917508, 114.29320661085232)",786.862,1455,7139.5874
Shenzhen/16_12402_2493_s.jpg,"(12402,2493)","(22.48052884518629, 114.0816376972122)",370.7366,0,0
Shenzhen/16_12380_2510_s.jpg,"(12380,2510)","(22.625786142070258, 113.87926743199122)",756.1856,66,11430.006
Shenzhen/16_12373_2519_s.jpg,"(12373,2519)","(22.702624324784573, 113.81487689305727)",1300.1031,10652,10000.0
Shenzhen/16_12410_2523_s.jpg,"(12410,2523)","(22.7367606453618, 114.15522688456528)",1020.7715,4375,37228.062
Shenzhen/16_12371_2513_s.jpg,"(12371,2513)","(22.651403705158934, 113.796479596219)",0.0,604,113.27677
Shenzhen/16_12414_2512_s.jpg,"(12414,2512)","(22.642865054376422, 114.19202147824183)",794.40924,8285,10004.251
Shenzhen/16_12425_2501_s.jpg,"(12425,2501)","(22.548904490571626, 114.29320661085232)",67.00654,0,0
Shenzhen/16_12395_2518_s.jpg,"(12395,2518)","(22.694088899091252, 114.01724715827825)",1417.0522,3564,10000.737
Shenzhen/16_12404_2529_s.jpg,"(12404,2529)","(22.78794896244313, 114.10003499405047)",774.7489,7324,37228.062
Shenzhen/16_12427_2516_s.jpg,"(12427,2516)","(22.67701643414146, 114.3116039076906)",341.03134,5719,10007.604
Shenzhen/16_12408_2497_s.jpg,"(12408,2497)","(22.51472094472147, 114.13682958772702)",787.9096,0,0
Shenzhen/16_12387_2508_s.jpg,"(12387,2508)","(22.608705083155943, 113.94365797092517)",0.0,1035,203.50754
Shenzhen/16_12369_2532_s.jpg,"(12369,2532)","(22.813535838147484, 113.77808229938073)",1809.3997,5556,29656.117
Shenzhen/16_12423_2517_s.jpg,"(12423,2517)","(22.685552935491348, 114.27480931401405)",595.0584,4497,10000.06
Shenzhen/16_12410_2504_s.jpg,"(12410,2504)","(22.574536530531404, 114.15522688456528)",0.0,6036,86.6376
Shenzhen/16_12408_2493_s.jpg,"(12408,2493)","(22.48052884518629, 114.13682958772702)",637.50696,0,0
Shenzhen/16_12397_2517_s.jpg,"(12397,2517)","(22.685552935491348, 114.03564445511653)",1488.3903,13463,10000.0
Shenzhen/16_12429_2519_s.jpg,"(12429,2519)","(22.702624324784573, 114.33000120452887)",871.3063,6300,10000.0
Shenzhen/16_12393_2522_s.jpg,"(12393,2522)","(22.72822737285977, 113.99884986143998)",731.8283,4476,25414.123
Shenzhen/16_12402_2491_s.jpg,"(12402,2491)","(22.463429590944926, 114.0816376972122)",398.80533,0,0
Shenzhen/16_12437_2530_s.jpg,"(12437,2530)","(22.796478460844515, 114.40359039188195)",567.6343,1243,16297.651
Shenzhen/16_12387_2513_s.jpg,"(12387,2513)","(22.651403705158934, 113.94365797092517)",327.62253,708,1.382694
Shenzhen/16_12400_2531_s.jpg,"(12400,2531)","(22.805007419464577, 114.06324040037393)",848.08057,3748,27645.865
Shenzhen/16_12413_2503_s.jpg,"(12413,2503)","(22.565993052710212, 114.1828228298227)",462.29193,4570,16248.718
Shenzhen/16_12434_2516_s.jpg,"(12434,2516)","(22.67701643414146, 114.37599444662455)",143.68839,2468,1.5376627
Shenzhen/16_12379_2532_s.jpg,"(12379,2532)","(22.813535838147484, 113.87006878357208)",960.0322,7298,10000.0
Shenzhen/16_12444_2509_s.jpg,"(12444,2509)","(22.617245880860583, 114.4679809308159)",111.29095,92,1.382694
Shenzhen/16_12448_2530_s.jpg,"(12448,2530)","(22.796478460844515, 114.50477552449244)",150.58894,962,110.163
Shenzhen/16_12433_2526_s.jpg,"(12433,2526)","(22.762357230110375, 114.3667957982054)",775.32153,2212,10004.543
Shenzhen/16_12410_2512_s.jpg,"(12410,2512)","(22.642865054376422, 114.15522688456528)",1106.2805,4291,48336.94
Shenzhen/16_12450_2515_s.jpg,"(12450,2515)","(22.66847939519827, 114.52317282133072)",40.27004,56,0
Shenzhen/16_12409_2512_s.jpg,"(12409,2512)","(22.642865054376422, 114.14602823614615)",1169.2405,9552,49862.664
Shenzhen/16_12395_2519_s.jpg,"(12395,2519)","(22.702624324784573, 114.01724715827825)",1248.0046,1854,49627.78
Shenzhen/16_12444_2510_s.jpg,"(12444,2510)","(22.625786142070258, 114.4679809308159)",65.49818,90,1.382694
Shenzhen/16_12407_2532_s.jpg,"(12407,2532)","(22.813535838147484, 114.12763093930788)",594.468,3174,23919.625
Shenzhen/16_12399_2531_s.jpg,"(12399,2531)","(22.805007419464577, 114.0540417519548)",838.5672,3900,23755.658
Shenzhen/16_12408_2527_s.jpg,"(12408,2527)","(22.77088834692007, 114.13682958772702)",1006.0206,3049,25994.07
Shenzhen/16_12380_2533_s.jpg,"(12380,2533)","(22.82206371673744, 113.87926743199122)",791.5158,5424,10000.342
Shenzhen/16_12392_2526_s.jpg,"(12392,2526)","(22.762357230110375, 113.98965121302085)",449.91214,383,27.692118
Shenzhen/16_12374_2527_s.jpg,"(12374,2527)","(22.77088834692007, 113.8240755414764)",1620.2267,25427,10000.0
Shenzhen/16_12422_2534_s.jpg,"(12422,2534)","(22.830591055078724, 114.26561066559492)",119.88478,264,91.99778
Shenzhen/16_12394_2521_s.jpg,"(12394,2521)","(22.7196935618253, 114.00804850985912)",873.81335,1671,5424.912
Shenzhen/16_12458_2498_s.jpg,"(12458,2498)","(22.523267633486494, 114.5967620086838)",15.433675,30,1.382694
Shenzhen/16_12419_2506_s.jpg,"(12419,2506)","(22.591621878890372, 114.2380147203375)",1029.6135,1848,3353.6392
Shenzhen/16_12403_2521_s.jpg,"(12403,2521)","(22.7196935618253, 114.09083634563133)",1079.3234,6237,10000.0
Shenzhen/16_12449_2512_s.jpg,"(12449,2512)","(22.642865054376422, 114.51397417291157)",45.983162,144,48.589115
Shenzhen/16_12385_2521_s.jpg,"(12385,2521)","(22.7196935618253, 113.9252606740869)",576.753,2016,15065.046
Shenzhen/16_12434_2528_s.jpg,"(12434,2528)","(22.779418924416326, 114.37599444662455)",583.4133,2325,25563.701
Shenzhen/16_12448_2531_s.jpg,"(12448,2531)","(22.805007419464577, 114.50477552449244)",134.93216,732,141.42546
Shenzhen/16_12398_2500_s.jpg,"(12398,2500)","(22.540359406569266, 114.04484310353565)",2242.8745,49988,10000.0
Shenzhen/16_12422_2518_s.jpg,"(12422,2518)","(22.694088899091252, 114.26561066559492)",750.01465,6440,10018.606
Shenzhen/16_12387_2516_s.jpg,"(12387,2516)","(22.67701643414146, 113.94365797092517)",620.5134,6883,10001.592
Shenzhen/16_12384_2497_s.jpg,"(12384,2497)","(22.51472094472147, 113.91606202566776)",1767.855,21651,10000.0
Shenzhen/16_12444_2506_s.jpg,"(12444,2506)","(22.591621878890372, 114.4679809308159)",188.66466,3833,10000.461
Shenzhen/16_12424_2507_s.jpg,"(12424,2507)","(22.60016374911348, 114.28400796243318)",624.9677,1796,1352.7611
Shenzhen/16_12395_2513_s.jpg,"(12395,2513)","(22.651403705158934, 114.01724715827825)",1658.2281,30308,10000.0
Shenzhen/16_12398_2528_s.jpg,"(12398,2528)","(22.779418924416326, 114.04484310353565)",723.6583,4589,7982.629
Shenzhen/16_12375_2508_s.jpg,"(12375,2508)","(22.608705083155943, 113.83327418989553)",1177.7897,30256,10000.0
Shenzhen/16_12445_2527_s.jpg,"(12445,2527)","(22.77088834692007, 114.47717957923503)",535.82434,5206,21837.434
Shenzhen/16_12437_2520_s.jpg,"(12437,2520)","(22.711159212414756, 114.40359039188195)",243.74918,2012,11109.423
Shenzhen/16_12418_2527_s.jpg,"(12418,2527)","(22.77088834692007, 114.22881607191837)",511.77646,319,64.521355
Shenzhen/16_12436_2516_s.jpg,"(12436,2516)","(22.67701643414146, 114.39439174346282)",117.539055,1195,1.382694
Shenzhen/16_12430_2508_s.jpg,"(12430,2508)","(22.608705083155943, 114.339199852948)",136.2058,598,45791.105
Shenzhen/16_12428_2514_s.jpg,"(12428,2514)","(22.659941818818496, 114.32080255610973)",141.58871,1245,18436.232
Shenzhen/16_12416_2514_s.jpg,"(12416,2514)","(22.659941818818496, 114.2104187750801)",696.0963,5810,10000.0
Shenzhen/16_12369_2523_s.jpg,"(12369,2523)","(22.7367606453618, 113.77808229938073)",1248.8763,5531,10000.0
Shenzhen/16_12395_2492_s.jpg,"(12395,2492)","(22.471979484973392, 114.01724715827825)",1185.6729,0,0
Shenzhen/16_12401_2520_s.jpg,"(12401,2520)","(22.711159212414756, 114.07243904879307)",1032.7928,8159,10000.0
Shenzhen/16_12370_2533_s.jpg,"(12370,2533)","(22.82206371673744, 113.78728094779986)",1803.9752,7898,23864.084
Shenzhen/16_12430_2510_s.jpg,"(12430,2510)","(22.625786142070258, 114.339199852948)",125.795654,96,1.382694
Shenzhen/16_12400_2492_s.jpg,"(12400,2492)","(22.471979484973392, 114.06324040037393)",559.3598,0,0
Shenzhen/16_12376_2516_s.jpg,"(12376,2516)","(22.67701643414146, 113.84247283831468)",688.97736,2998,1.382694
Shenzhen/16_12446_2509_s.jpg,"(12446,2509)","(22.617245880860583, 114.48637822765417)",95.86588,66,1.382694
Shenzhen/16_12425_2513_s.jpg,"(12425,2513)","(22.651403705158934, 114.29320661085232)",169.99178,854,1.382694
Shenzhen/16_12401_2518_s.jpg,"(12401,2518)","(22.694088899091252, 114.07243904879307)",899.77826,7325,10000.0
Shenzhen/16_12441_2517_s.jpg,"(12441,2517)","(22.685552935491348, 114.4403849855585)",53.916367,123,8.227088
Shenzhen/16_12435_2511_s.jpg,"(12435,2511)","(22.63432586662788, 114.38519309504368)",220.20361,228,1.382694
Shenzhen/16_12395_2510_s.jpg,"(12395,2510)","(22.625786142070258, 114.01724715827825)",1564.7506,3341,10000.412
Shenzhen/16_12446_2529_s.jpg,"(12446,2529)","(22.78794896244313, 114.48637822765417)",419.14728,1586,867.28186
Shenzhen/16_12400_2498_s.jpg,"(12400,2498)","(22.523267633486494, 114.06324040037393)",1474.2465,63478,10018.69
Shenzhen/16_12388_2533_s.jpg,"(12388,2533)","(22.82206371673744, 113.9528566193443)",257.07675,1891,10030.811
Shenzhen/16_12377_2509_s.jpg,"(12377,2509)","(22.617245880860583, 113.8516714867338)",1225.9388,31069,10000.0
Shenzhen/16_12372_2512_s.jpg,"(12372,2512)","(22.642865054376422, 113.80567824463813)",1196.333,622,30943.525
Shenzhen/16_12375_2517_s.jpg,"(12375,2517)","(22.685552935491348, 113.83327418989553)",1105.7864,8015,10011.353
Shenzhen/16_12379_2528_s.jpg,"(12379,2528)","(22.779418924416326, 113.87006878357208)",1033.4985,7480,10015.672
Shenzhen/16_12393_2502_s.jpg,"(12393,2502)","(22.557449039337794, 113.99884986143998)",2058.177,12347,10000.313
Shenzhen/16_12426_2516_s.jpg,"(12426,2516)","(22.67701643414146, 114.30240525927145)",407.53073,3301,10000.008
Shenzhen/16_12445_2528_s.jpg,"(12445,2528)","(22.779418924416326, 114.47717957923503)",609.46204,3239,17277.38
Shenzhen/16_12409_2499_s.jpg,"(12409,2499)","(22.531813787488332, 114.14602823614615)",555.0978,0,0
Shenzhen/16_12372_2518_s.jpg,"(12372,2518)","(22.694088899091252, 113.80567824463813)",1348.0887,12465,10000.0
Shenzhen/16_12400_2510_s.jpg,"(12400,2510)","(22.625786142070258, 114.06324040037393)",1418.2008,8660,10000.0
Shenzhen/16_12449_2528_s.jpg,"(12449,2528)","(22.779418924416326, 114.51397417291157)",252.21507,594,8.227088
Shenzhen/16_12394_2499_s.jpg,"(12394,2499)","(22.531813787488332, 114.00804850985912)",1137.1676,5966,10000.0
Shenzhen/16_12407_2529_s.jpg,"(12407,2529)","(22.78794896244313, 114.12763093930788)",665.28107,1998,11445.0625
Shenzhen/16_12413_2507_s.jpg,"(12413,2507)","(22.60016374911348, 114.1828228298227)",294.1254,1163,6737.3228
Shenzhen/16_12417_2514_s.jpg,"(12417,2514)","(22.659941818818496, 114.21961742349923)",486.4283,4958,10000.413
Shenzhen/16_12416_2498_s.jpg,"(12416,2498)","(22.523267633486494, 114.2104187750801)",83.16695,0,0
Shenzhen/16_12414_2524_s.jpg,"(12414,2524)","(22.74529337917508, 114.19202147824183)",992.8467,371,98.4543
Shenzhen/16_12456_2528_s.jpg,"(12456,2528)","(22.779418924416326, 114.57836471184552)",554.9636,151,8.227088
Shenzhen/16_12374_2528_s.jpg,"(12374,2528)","(22.779418924416326, 113.8240755414764)",1622.3639,14435,10000.0
Shenzhen/16_12417_2521_s.jpg,"(12417,2521)","(22.7196935618253, 114.21961742349923)",1537.4694,11750,10000.0
Shenzhen/16_12389_2520_s.jpg,"(12389,2520)","(22.711159212414756, 113.96205526776343)",963.493,1461,35847.7
Shenzhen/16_12387_2500_s.jpg,"(12387,2500)","(22.540359406569266, 113.94365797092517)",2107.9807,23622,10000.0
Shenzhen/16_12451_2515_s.jpg,"(12451,2515)","(22.66847939519827, 114.53237146974985)",36.195404,0,0
Shenzhen/16_12388_2508_s.jpg,"(12388,2508)","(22.608705083155943, 113.9528566193443)",0.0,829,6737.5356
Shenzhen/16_12459_2524_s.jpg,"(12459,2524)","(22.74529337917508, 114.60596065710293)",0.0,15,0
Shenzhen/16_12390_2527_s.jpg,"(12390,2527)","(22.77088834692007, 113.97125391618258)",266.18585,1036,1034.1127
Shenzhen/16_12370_2526_s.jpg,"(12370,2526)","(22.762357230110375, 113.78728094779986)",1310.6556,8383,37228.062
Shenzhen/16_12388_2511_s.jpg,"(12388,2511)","(22.63432586662788, 113.9528566193443)",0.0,1450,387.8972
Shenzhen/16_12419_2504_s.jpg,"(12419,2504)","(22.574536530531404, 114.2380147203375)",940.3047,5793,46482.51
Shenzhen/16_12418_2528_s.jpg,"(12418,2528)","(22.779418924416326, 114.22881607191837)",350.6031,239,72.44769
Shenzhen/16_12456_2511_s.jpg,"(12456,2511)","(22.63432586662788, 114.57836471184552)",61.329212,146,95.02721
Shenzhen/16_12396_2507_s.jpg,"(12396,2507)","(22.60016374911348, 114.02644580669738)",1324.7092,5787,33566.516
Shenzhen/16_12397_2509_s.jpg,"(12397,2509)","(22.617245880860583, 114.03564445511653)",1528.9996,6237,10000.0
Shenzhen/16_12407_2507_s.jpg,"(12407,2507)","(22.60016374911348, 114.12763093930788)",1343.2384,28636,10000.085
Shenzhen/16_12378_2512_s.jpg,"(12378,2512)","(22.642865054376422, 113.86087013515295)",787.877,9990,10044.91
Shenzhen/16_12409_2529_s.jpg,"(12409,2529)","(22.78794896244313, 114.14602823614615)",468.2512,2912,30497.445
Shenzhen/16_12420_2496_s.jpg,"(12420,2496)","(22.50617372135107, 114.24721336875665)",49.847145,0,0
Shenzhen/16_12445_2517_s.jpg,"(12445,2517)","(22.685552935491348, 114.47717957923503)",53.320126,65,8.227088
Shenzhen/16_12412_2508_s.jpg,"(12412,2508)","(22.608705083155943, 114.17362418140355)",448.50388,2939,1.382694
Shenzhen/16_12437_2517_s.jpg,"(12437,2517)","(22.685552935491348, 114.40359039188195)",104.91742,1673,1.382694
Shenzhen/16_12405_2505_s.jpg,"(12405,2505)","(22.583079472643913, 114.1092336424696)",2361.1753,50868,10000.0
Shenzhen/16_12398_2512_s.jpg,"(12398,2512)","(22.642865054376422, 114.04484310353565)",1578.5488,10389,10000.0
Shenzhen/16_12428_2508_s.jpg,"(12428,2508)","(22.608705083155943, 114.32080255610973)",157.00429,2594,10000.428
Shenzhen/16_12451_2494_s.jpg,"(12451,2494)","(22.489077671425537, 114.53237146974985)",34.143646,156,40.07769
Shenzhen/16_12400_2504_s.jpg,"(12400,2504)","(22.574536530531404, 114.06324040037393)",2766.4385,14570,10000.686
Shenzhen/16_12401_2515_s.jpg,"(12401,2515)","(22.66847939519827, 114.07243904879307)",1073.8008,1772,10000.0
